ref_percent,time,preftab,k,search_type
0.2,6.4e-05,0,-1,naive
0.4,6.4e-05,0,-1,naive
0.6,7.2e-05,0,-1,naive
0.8,8.5e-05,0,-1,naive
1,7.8e-05,0,-1,naive
0.2,8e-05,1,2,naive
0.4,0.000139,1,2,naive
0.6,6.3e-05,1,2,naive
0.8,8.5e-05,1,2,naive
1,6.2e-05,1,2,naive
0.2,7.1e-05,1,4,naive
0.4,6.3e-05,1,4,naive
0.6,5.1e-05,1,4,naive
0.8,6e-05,1,4,naive
1,4.8e-05,1,4,naive
0.2,6.2e-05,1,6,naive
0.4,4.8e-05,1,6,naive
0.6,6.8e-05,1,6,naive
0.8,6e-05,1,6,naive
1,6.2e-05,1,6,naive
0.2,5.6e-05,1,8,naive
0.4,6e-05,1,8,naive
0.6,4.9e-05,1,8,naive
0.8,6.2e-05,1,8,naive
1,6.4e-05,1,8,naive
0.2,7.9e-05,1,10,naive
0.4,8.8e-05,1,10,naive
0.6,8.8e-05,1,10,naive
0.8,8.2e-05,1,10,naive
1,9e-05,1,10,naive
0.2,6.3e-05,0,-1,simpaccel
0.4,6.8e-05,0,-1,simpaccel
0.6,0.000104,0,-1,simpaccel
0.8,7.3e-05,0,-1,simpaccel
1,6.8e-05,0,-1,simpaccel
0.2,6.4e-05,1,2,simpaccel
0.4,6.1e-05,1,2,simpaccel
0.6,6.5e-05,1,2,simpaccel
0.8,6e-05,1,2,simpaccel
1,6.2e-05,1,2,simpaccel
0.2,6.2e-05,1,4,simpaccel
0.4,6.6e-05,1,4,simpaccel
0.6,6.2e-05,1,4,simpaccel
0.8,6.8e-05,1,4,simpaccel
1,0.000109,1,4,simpaccel
0.2,7.8e-05,1,6,simpaccel
0.4,6.2e-05,1,6,simpaccel
0.6,5.6e-05,1,6,simpaccel
0.8,6.2e-05,1,6,simpaccel
1,6.6e-05,1,6,simpaccel
0.2,6.3e-05,1,8,simpaccel
0.4,6.2e-05,1,8,simpaccel
0.6,6.2e-05,1,8,simpaccel
0.8,6.3e-05,1,8,simpaccel
1,6.2e-05,1,8,simpaccel
0.2,9.3e-05,1,10,simpaccel
0.4,9.7e-05,1,10,simpaccel
0.6,7.6e-05,1,10,simpaccel
0.8,8.6e-05,1,10,simpaccel
1,0.000131,1,10,simpaccel
